Title,Duration,Genre,Rating,Gross,Director,Lead,Year
The Warriors,93 min,"Action, Crime, Thriller",R,22.49,Walter Hill,Michael Beck,1979
War,103 min,"Action, Crime, Thriller",R,22.49,Philip G. Atwell,Jet Li,2007
Hitman: Agent 47,96 min,"Action, Crime, Thriller",R,22.47,Aleksander Bach,Rupert Friend,2015
City by the Sea,108 min,"Crime, Drama, Mystery",R,22.43,Michael Caton-Jones,Robert De Niro,2002
The First Power,98 min,"Crime, Horror, Thriller",R,22.42,Robert Resnikoff,Lou Diamond Phillips,1990
Red Corner,122 min,"Crime, Drama, Thriller",R,22.42,Jon Avnet,Richard Gere,1997
The Bye Bye Man,96 min,"Drama, Fantasy, Horror",PG-13,22.38,Stacy Title,Douglas Smith,2017
Stuber,93 min,"Action, Comedy, Crime",R,22.37,Michael Dowse,Dave Bautista,2019
Project Almanac,106 min,"Drama, Mystery, Sci-Fi",PG-13,22.35,Dean Israelite,Amy Landecker,2015
Nowhere to Run,94 min,"Action, Drama, Romance",R,22.19,Robert Harmon,Jean-Claude Van Damme,1993
Lock Up,109 min,"Action, Crime, Drama",R,22.1,John Flynn,Sylvester Stallone,1989
Black and Blue,108 min,"Action, Thriller",R,22.06,Deon Taylor,Naomie Harris,I 2019
Death Wish,93 min,"Action, Crime, Drama",R,22.0,Michael Winner,Charles Bronson,1974
Joy Ride,97 min,"Action, Mystery, Thriller",R,21.97,John Dahl,Steve Zahn,2001
Friday the 13th: A New Beginning,92 min,"Horror, Mystery, Thriller",R,21.93,Danny Steinmann,Melanie Kinnaman,1985
Ricochet,102 min,"Action, Crime, Drama",R,21.76,Russell Mulcahy,Denzel Washington,1991
Shining Through,132 min,"Drama, Romance, Thriller",R,21.73,David Seltzer,Michael Douglas,1992
Friday the 13th Part 2,87 min,"Horror, Mystery, Thriller",R,21.72,Steve Miner,Betsy Palmer,1981
Marathon Man,125 min,"Crime, Drama, Thriller",R,21.71,John Schlesinger,Dustin Hoffman,1976
The Player,124 min,"Comedy, Crime, Drama",R,21.71,Robert Altman,Tim Robbins,1992
The Rookie,120 min,"Action, Crime, Drama",R,21.63,Clint Eastwood,Clint Eastwood,1990
The Quest,95 min,"Action, Adventure, Drama",PG-13,21.6,Jean-Claude Van Damme,Jean-Claude Van Damme,1996
Consenting Adults,99 min,"Crime, Drama, Mystery",R,21.59,Alan J. Pakula,Kevin Kline,1992
Snowden,134 min,"Biography, Crime, Drama",R,21.59,Oliver Stone,Joseph Gordon-Levitt,2016
Psycho,105 min,"Horror, Mystery, Thriller",R,21.46,Gus Van Sant,Vince Vaughn,1998
The Darkest Hour,89 min,"Action, Adventure, Horror",PG-13,21.43,Chris Gorak,Emile Hirsch,2011
When a Stranger Calls,97 min,"Horror, Mystery, Thriller",R,21.41,Fred Walton,Carol Kane,1979
